Angles	physical
Incidence	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	60	60	60	60	60	60	60	60
Emergence	20	40	60	70	20	40	60	70	0	20	40	60	70	20	40	60	70	0	20	40	70	20	40	60	70
Azimuth  	0	0	0	0	180	180	180	180	0	0	0	0	0	180	180	180	180	0	0	0	0	180	180	180	180
wavelength_nm	Refl_NH4-Jarosite_i0e20a0	Err_NH4-Jarosite_i0e20a0	Refl_NH4-Jarosite_i0e40a0	Err_NH4-Jarosite_i0e40a0	Refl_NH4-Jarosite_i0e60a0	Err_NH4-Jarosite_i0e60a0	Refl_NH4-Jarosite_i0e70a0	Err_NH4-Jarosite_i0e70a0	Refl_NH4-Jarosite_i0e20a180	Err_NH4-Jarosite_i0e20a180	Refl_NH4-Jarosite_i0e40a180	Err_NH4-Jarosite_i0e40a180	Refl_NH4-Jarosite_i0e60a180	Err_NH4-Jarosite_i0e60a180	Refl_NH4-Jarosite_i0e70a180	Err_NH4-Jarosite_i0e70a180	Refl_NH4-Jarosite_i30e0a0	Err_NH4-Jarosite_i30e0a0	Refl_NH4-Jarosite_i30e20a0	Err_NH4-Jarosite_i30e20a0	Refl_NH4-Jarosite_i30e40a0	Err_NH4-Jarosite_i30e40a0	Refl_NH4-Jarosite_i30e60a0	Err_NH4-Jarosite_i30e60a0	Refl_NH4-Jarosite_i30e70a0	Err_NH4-Jarosite_i30e70a0	Refl_NH4-Jarosite_i30e20a180	Err_NH4-Jarosite_i30e20a180	Refl_NH4-Jarosite_i30e40a180	Err_NH4-Jarosite_i30e40a180	Refl_NH4-Jarosite_i30e60a180	Err_NH4-Jarosite_i30e60a180	Refl_NH4-Jarosite_i30e70a180	Err_NH4-Jarosite_i30e70a180	Refl_NH4-Jarosite_i60e0a0	Err_NH4-Jarosite_i60e0a0	Refl_NH4-Jarosite_i60e20a0	Err_NH4-Jarosite_i60e20a0	Refl_NH4-Jarosite_i60e40a0	Err_NH4-Jarosite_i60e40a0	Refl_NH4-Jarosite_i60e70a0	Err_NH4-Jarosite_i60e70a0	Refl_NH4-Jarosite_i60e20a180	Err_NH4-Jarosite_i60e20a180	Refl_NH4-Jarosite_i60e40a180	Err_NH4-Jarosite_i60e40a180	Refl_NH4-Jarosite_i60e60a180	Err_NH4-Jarosite_i60e60a180	Refl_NH4-Jarosite_i60e70a180	Err_NH4-Jarosite_i60e70a180
400.000000	0.714887	0.004165	0.700442	0.003820	0.684608	0.003661	0.676635	0.007861	0.722851	0.003124	0.696307	0.003250	0.669517	0.005689	0.658622	0.006486	0.709020	0.003633	0.716028	0.006131	0.725287	0.009568	0.677380	0.004099	0.654254	0.005036	0.717458	0.002921	0.755049	0.003414	0.759447	0.004247	0.750928	0.008517	0.666448	0.003520	0.663020	0.003204	0.683100	0.002694	0.769299	0.009052	0.719583	0.003345	0.846084	0.003867	1.066977	0.004882	1.296126	0.020658	
410.000000	0.809956	0.003200	0.789863	0.004122	0.759113	0.002402	0.743102	0.007150	0.809753	0.002179	0.781684	0.001850	0.747357	0.004212	0.708989	0.003525	0.797206	0.002548	0.805017	0.002395	0.825678	0.004303	0.747814	0.002158	0.727779	0.003422	0.808186	0.001958	0.830498	0.002746	0.831108	0.003472	0.820800	0.009426	0.746906	0.002329	0.736771	0.001893	0.754612	0.001758	0.841442	0.006502	0.800106	0.002687	0.914996	0.001981	1.134406	0.002777	1.358299	0.012036	
420.000000	0.859553	0.001959	0.835223	0.001638	0.802261	0.001567	0.781481	0.002650	0.861803	0.001515	0.826076	0.001390	0.784978	0.002904	0.741396	0.003843	0.852700	0.002505	0.860929	0.002718	0.868072	0.002045	0.788517	0.002861	0.761324	0.002309	0.852777	0.001552	0.880089	0.001431	0.869877	0.002325	0.844283	0.005717	0.794801	0.001846	0.777771	0.001524	0.795221	0.001198	0.865466	0.002657	0.844876	0.001465	0.959143	0.001493	1.171998	0.002071	1.380684	0.006826	
430.000000	0.879172	0.001030	0.849621	0.001363	0.817750	0.001406	0.800463	0.002082	0.878714	0.001014	0.843669	0.001027	0.797112	0.001911	0.759019	0.002879	0.863367	0.001833	0.870710	0.001653	0.883513	0.001602	0.802870	0.001126	0.775669	0.001865	0.868573	0.000976	0.893332	0.001245	0.883694	0.002152	0.864779	0.003810	0.805729	0.000894	0.792320	0.000892	0.808488	0.000878	0.875994	0.002436	0.859303	0.000939	0.973132	0.001299	1.188090	0.001699	1.391612	0.005494	
440.000000	0.889720	0.001261	0.861724	0.000814	0.829012	0.000963	0.808723	0.001165	0.890955	0.001006	0.854607	0.000742	0.803476	0.001554	0.773088	0.001893	0.877375	0.001162	0.884045	0.001135	0.894392	0.001123	0.813440	0.000914	0.781175	0.001346	0.881354	0.001199	0.903904	0.000974	0.893970	0.001246	0.876299	0.002163	0.817883	0.000970	0.803437	0.000719	0.818911	0.000674	0.885372	0.001878	0.871236	0.000790	0.985838	0.000870	1.201040	0.001529	1.409652	0.003727	
450.000000	0.900730	0.000975	0.871779	0.000762	0.837222	0.000908	0.816808	0.001129	0.900119	0.000728	0.863165	0.000813	0.815357	0.001054	0.780425	0.001459	0.885252	0.001055	0.889912	0.001071	0.902578	0.001233	0.821020	0.000636	0.789492	0.001974	0.888408	0.000632	0.911438	0.000706	0.900880	0.000944	0.885371	0.002417	0.825059	0.000901	0.810776	0.000643	0.826034	0.000585	0.890472	0.001644	0.880014	0.000716	0.993258	0.000958	1.209982	0.001164	1.417304	0.004057	
460.000000	0.912417	0.001019	0.882328	0.000554	0.846875	0.000646	0.826665	0.000638	0.911914	0.000527	0.872821	0.000649	0.821302	0.001040	0.785438	0.001027	0.895344	0.000679	0.903291	0.000997	0.913773	0.000890	0.830588	0.000596	0.798620	0.000855	0.899485	0.000548	0.922311	0.000962	0.911141	0.001098	0.891283	0.001534	0.834242	0.000564	0.819796	0.000472	0.834325	0.000439	0.899978	0.001448	0.889020	0.000507	1.002833	0.000623	1.216582	0.000932	1.422508	0.003360	
470.000000	0.919096	0.000501	0.886738	0.000461	0.850065	0.000966	0.827927	0.001331	0.916808	0.000413	0.877960	0.000532	0.827168	0.000683	0.792135	0.000946	0.902111	0.000657	0.906730	0.000863	0.918912	0.001002	0.833728	0.000475	0.802972	0.000560	0.904082	0.000495	0.925591	0.000578	0.914946	0.000626	0.893918	0.001016	0.838177	0.000475	0.823431	0.000505	0.837885	0.000359	0.901720	0.001375	0.893512	0.000448	1.005407	0.000495	1.218872	0.000621	1.426409	0.002815	
480.000000	0.928857	0.000702	0.896370	0.000324	0.859330	0.000648	0.834863	0.001210	0.926210	0.000571	0.887037	0.000383	0.835182	0.000559	0.795549	0.000961	0.910735	0.000564	0.916921	0.000592	0.927876	0.000625	0.841604	0.000556	0.809233	0.000579	0.913639	0.000529	0.934446	0.000472	0.920809	0.000498	0.902258	0.000946	0.846746	0.000513	0.832755	0.000452	0.845740	0.000392	0.909167	0.000762	0.901179	0.000418	1.013781	0.000485	1.224862	0.000589	1.437342	0.002606	
490.000000	0.935042	0.000653	0.902024	0.000305	0.863843	0.000293	0.842022	0.000614	0.934995	0.000738	0.893623	0.000391	0.839412	0.000449	0.801983	0.000780	0.919108	0.000898	0.924891	0.000831	0.934225	0.000743	0.846428	0.000385	0.818514	0.000765	0.921429	0.000588	0.940146	0.000305	0.925020	0.000532	0.905428	0.000778	0.852829	0.000422	0.839098	0.000562	0.849940	0.000298	0.913256	0.000541	0.907448	0.000728	1.018378	0.000492	1.230130	0.000543	1.435469	0.001719	
500.000000	0.932087	0.000343	0.900403	0.000777	0.861951	0.000465	0.839035	0.000550	0.929453	0.000268	0.889959	0.000567	0.836534	0.000453	0.798328	0.000720	0.914496	0.000430	0.919931	0.000468	0.932501	0.000892	0.844371	0.000281	0.810221	0.000598	0.917885	0.000244	0.937689	0.000710	0.923382	0.000417	0.904122	0.000656	0.849430	0.000235	0.835351	0.000244	0.847334	0.000308	0.912702	0.000599	0.904391	0.000431	1.017822	0.000637	1.228198	0.000459	1.437472	0.001510	
